a tiny;b gpt;c llama
a tiny;b gpt;c llama
a tiny;b llama;c gpt
a llama;b tiny;c gpt
a gpt;b tiny;c llama
a tiny;b llama;c gpt
a gpt;b llama;c tiny
a llama;b tiny;c gpt
a tiny;b llama;c gpt
a tiny;b llama;c gpt
a tiny;b gpt;c llama
a gpt;b llama;c tiny
a llama;b tiny;c gpt
a tiny;b gpt;c llama
a gpt;b tiny;c llama
a gpt;b tiny;c llama
a tiny;b llama;c gpt
a llama;b tiny;c gpt
a gpt;b tiny;c llama
a tiny;b gpt;c llama
a tiny;b llama;c gpt
a llama;b tiny;c gpt
a gpt;b llama;c tiny
a tiny;b llama;c gpt
a gpt;b llama;c tiny
a llama;b tiny;c gpt
a tiny;b llama;c gpt
a tiny;b llama;c gpt
a tiny;b gpt;c llama
a llama;b tiny;c gpt
a gpt;b llama;c tiny
a tiny;b gpt;c llama
a llama;b tiny;c gpt
a llama;b tiny;c gpt
a tiny;b gpt;c llama
a llama;b tiny;c gpt
a gpt;b llama;c tiny
a tiny;b gpt;c llama
a llama;b tiny;c gpt
a llama;b tiny;c gpt
a tiny;b gpt;c llama
